0x0004b460 設定を変更することができます。
0x0077a767 簡単には
たどり着けそうにないな。
0x0077a78a あのタワーへ行くには
ゲートの鍵となるＣＤが
必要だわ。
0x0077a7c3 必要なＣＤは全部で５枚。
みんなそれぞれ１枚ずつ
集めなければいけない。
0x0077a80c ひとり１枚ずつ
手にいれりゃーいいわけね。
ヨユーじゃん！
0x0077a847 よし！
行くぜ！　火影！！
0x0077a862 おうっ！！
0x0077a94e 随分、修行したようね。
とても力強く見えるわよ。
0x0077a97f 約束の日まで、
まだ、時間はあるから
頑張ってね。
0x0077a9b2 ただ…、この三日間、
σ１２３４５６７８９０１
の様子が判らないの…。
0x0077a9f9 心の整理は
ついたのかしら……。
0x0077aa1a 約束の三日が経ちました。
みんな…
覚悟ができたようね。
0x0077aa53 それでは、
森光蘭を倒しに…
そして、
0x0077aa7a 柳ちゃんを助けに…！
ＳＯＤＯＭへ
向かいましょう！
0x0077b4ba ちっ。ＣＤなんか
誰も持ってなかったな。
0x0077b4e3 このままじゃ
ゲートは開けられねぇぞ。
0x0077b50a ここにいたのね、烈火。
よかった…！
無事だったのね。
0x0077b541 ウッス！　母ちゃん！
ＣＤは集まってるか！？
0x0077b56e ＣＤはまだ揃っていないわ。
烈火は手に入った？
0x0077b59d オレの戦った奴らは
持ってなかった。
もう一回、探してくる！
0x0077b5da 必ず、敵の誰かが
ＣＤを持っているはず。
0x0077b603 柳ちゃんのためにも、
頑張って探してね。烈火！
0x0077b632 ああ！
じゃあ、行ってくる！
0x0077b64f ＣＤも見っけたし！
これで、５枚揃えば
ゲートを開けられるぜ！
0x0077b68e ここにいたのね、烈火。
よかった！
無事みたいね！
0x0077b6c1 おう！　母ちゃん！
ＣＤ見つけたぜ！
0x0077b6e6 やったじゃん！
烈火兄ちゃん！！
0x0077b707 小金井！　無事だったか！
元気そうだな！
0x0077b730 おつかれさま。
ＣＤをこちらへ
渡してくれる？
0x0077b75f あいよ、母ちゃん。
揃ったかい？
0x0077b780 まいったな。
ＣＤを
ＧＥＴできなかったぜ。
0x0077b7ad ここにいたのね、土門くん。
よかった！
無事みたいね！
0x0077b7e4 お。陽炎ママじゃん！
どうだい！
ＣＤは集まってる！？
0x0077b81b ＣＤはまだ揃っていないわ。
土門くんは見つけられた？
0x0077b850 それが見つからなくってよ。
もう一度探しに
行ってくるぜ。
0x0077b88b 必ず、敵の誰かが
ＣＤを持っているはず。
頑張って探してね。
0x0077b8c8 あいよ！
0x0077b8d1 さすがオレ様。
ＣＤをＧＥＴしたぜ！
0x0077b8f6 ここにいたのね、土門くん！
よかった…！
無事だったのね。
0x0077b931 よぉ！　陽炎ママ！
ＣＤをＧＥＴしたぜ！
0x0077b95a おつかれさま、土門くん。
そのＣＤをこっちへ
渡してくれる？
0x0077b997 あいよ。
0x0077b9a0 どうしよう。ＣＤは
見つからなかったな…。
0x0077b9cb ここにいたのね、
風子さん！
0x0077b9e8 あ！　陽炎！
0x0077b9f5 元気そうね。
無事で良かったわ。
0x0077ba16 まあね！
それで、どう？
ＣＤは集まった？
0x0077ba41 いいえ、
まだ揃っていないわ。
風子さんは見つけられた？
0x0077ba7a うーん。
それが見つからなくって…。
もっかい探しに行ってくる！
0x0077babb 必ず、敵の誰かが
ＣＤを持っているはず。
頑張って探してね。
0x0077baf8 まかせて！
0x0077bb03 よーし！
ＣＤ手に入ったぞ！
さっすが風子ちゃん！
0x0077bb36 風子さん
無事だったのね！
0x0077bb51 あ！　陽炎！！
0x0077bb60 風子サマ！！
0x0077bb6d 元気か、土門！！
生きてて、よいこっちゃ。
ＣＤを手にいれたよ！！
0x0077bbb0 おつかれさま。
ＣＤをこちらへ
渡してくれる？
0x0077bbdf はい、陽炎。
これで揃った？
0x0077bbfc ＣＤか…。
倒した敵は誰も
持っていなかったな…。
0x0077bc2f ここにいたのね、
水鏡くん！
無事みたいね、よかった。
0x0077bc66 僕は大丈夫ですよ。
ＣＤは集まりましたか？
0x0077bc91 それが…、まだなの。
水鏡くんは
見つけられた？
0x0077bcc2 いえ…。敵は倒したのですが
持っていなかったので…。
もう一度探しに行きますよ。
0x0077bd13 必ず、敵の誰かが
ＣＤを持っているはず。
頑張って探してね。
0x0077bd50 わかりました。
0x0077bd5f ＣＤは手に入った。
これで５枚揃えば
ゲートが開くな。
0x0077bd96 ここにいたのね、
水鏡くん！
無事みたいね、よかった！
0x0077bdcd ええ。
僕は平気ですよ。
0x0077bde6 さっすが、みーちゃん！
ＣＤはあった！？
0x0077be0f ああ。これだ。
0x0077be1e やるな！　水鏡！
簡単だったか？
0x0077be3f お前とは違うからな。
0x0077be54 なぁにィーっ！？
0x0077be65 まあまあ土門くん。
落ち着いて。
0x0077be86 おつかれさま、水鏡くん。
ＣＤをこちらへ
渡してくれる？
0x0077bebf はい、どうぞ。
これで、揃いましたか？
0x0077bee6 困ったなあ…。
ＣＤなんて
見つからなかったよ…。
0x0077bf19 薫くん！
無事だったのね。
0x0077bf34 あ！　陽炎ママだ！
オレなら平気！
ねぇ、ＣＤは集まってる！？
0x0077bf73 まだ全部揃っていないわ。
薫くんは
見つけられた？
0x0077bfa6 それが、誰も
持ってなくってさ…。
また、探しに行ってくるよ！
0x0077bfe5 必ず、敵の誰かが
ＣＤを持っているはず。
頑張って探してね。
0x0077c022 オッケーッ！
0x0077c02f ＣＤもあるし！
これで柳ちゃんを
助け出せるぞ！
0x0077c060 薫くん！
無事だったのね。よかった！
0x0077c085 うん！　平気！
ＣＤ手に入れたよ！
0x0077c0a8 おつかれさま。
こちらへ渡してくれる？
0x0077c0cf はい。
これでいいんだよね？
0x0077c0ec ありがとう。
0x0077c0f9 これで、ＣＤが
全部そろったわ。
0x0077c11a みんなも…、
来たわね！！
0x0077c135 いよいよゲートが
開くってわけだな！
0x0077c15a 助け出すよ！
柳を！
0x0077c16f 今行くからね！
柳ちゃん！
0x0077c18a 無事でいて下さい。
柳さん…
0x0077c1a7 みんな
よくここまで
がんばったわね。
0x0077c1ce 私は…
みんなを心から
誇りに思います。
0x0077c1f7 そして願わくば…
勝利を手に入れましょう！
0x0077c222 ラストステージへの
入り口だぜ！！
0x0077c245 火影のゴミどもが
来たようだな…。
0x0077c268 あの小娘のおかげで
力が回復したわ…！！
0x0077c291 ぐわっはっはっは！！
0x0077c2a6 これでＣＤはΣ枚ね。
まだ、全部揃っていないわ。
0x0077c2d7 ＣＤをまだ
手に入れてないのは、
0x0077c2f8 σ１２３４５６７８９０１
のΣ人よ！
0x0077c31d ＣＤをまだ
手に入れてないのは、
0x0077c33e σ１２３４５６７８９０１
のΣ人だけよ！
0x0077cb72 オレの力が無いばっかりに、
姫を守って
やれなかった…！！
0x0077cbad オレは…火影のリーダーだ。
この三日間で、もっともっと
強くならねえといけねえ！！
0x0077cc00 …ん？　誰か来る…！
なんじゃありゃ、
土門じゃねえか。
0x0077cc39 おい花菱！
いっちょ立ち会え！
オレの実力を教えたる！
0x0077cc70 おい固羅！
何、寝ぼけたこと言ってる！
0x0077cc97 いくぞ！　花菱！
0x0077cca8 どーだ！　見たか！
オレ様の力を！
0x0077cccb 今日から火影最強を
名乗るか！
ガハハ！　じゃあまたな！
0x0077cd04 おいおい、
前より弱くなってねーか
フランスモアイ！
0x0077cd39 くそぉ〜〜っ！
おかしいなぁ…
0x0077cd58 ウーッス！　烈火。
見事な戦いじゃったな！！
0x0077cd85 お主の中で、
力を貸したいと言い出す奴が
あらわれおったぞ！
0x0077cdc2 奴の力も借りて
もっと強くなるがよい！
0x0077cde9 烈火は
「焔群」（%B%P6Ｒ＋→＋Ｂ%S%P7）が
使えるようになった！
0x0077ce2a 勝つには勝ったが、烈火よ。
少し動きがかたいようじゃ。
0x0077ce61 次に土門と勝負する時は
もっと体力を温存して
勝利してみぃ！
0x0077ce9e 姫…。
……すまねぇ…。
0x0077ceb7 きっと…
無事でいてくれ…。
0x0077ced4 オレが、必ず
助け出してやる…。
0x0077cef5 はーい！　烈火！
どう元気ぃ？
0x0077cf14 おう！　風子じゃねぇか！
どうした！？
0x0077cf3b 一発！　気合入れて
やろーかと思ってね！
いざ、尋常に！　勝負！
0x0077cf7c 望むところだ！
いくぜ！　風子！
0x0077cf9d やっぱり、烈火…。
思ってたより、
落ち込んでるみたいねー。
0x0077cfda うっせーっ！
オレだって……。
0x0077cff9 そんなんじゃ、
柳を助けらんないわよ！
0x0077d020 私も死ぬほど頑張るからさ！
だから烈火！
0x0077d049 …おう！
ありがとよ！　風子！
0x0077d068 本気出してんのか？　風子。
そんなんじゃ、
誰一人倒せねぇぞ！
0x0077d0a7 イヨーォ！　烈火。
なかなか良い
戦いっぷりじゃな！
0x0077d0dc こいつの力も借りて、
さらにたくみな
戦い方をしてみるが良いぞ！
0x0077d11d 烈火は
「塁」（%B%P6Ｒ＋↓＋Ｂ%S%P7）が
使えるようになった！
0x0077d15c ヨォ！　烈火。
たいしたものじゃな。
力もついてきておる！
0x0077d197 次に風子と勝負する時は
お主の八竜も使って
やるとよいぞ！
0x0077d1d2 特に「焔群」の奴が
戦いたがっておった
ようじゃがの！
0x0077d209 ヨォ！　烈火。
力もついてきておる！
と言いたいところじゃが…。
0x0077d24a お主にはまだ
味方になろうとする
八竜がたくさんおる！
0x0077d281 奴らはお主の力を
見極めたいと言っておる。
0x0077d2ac 何度でも仲間に勝負を挑み、
お主の力をつけるのじゃ！
よいな、烈火よ！
0x0077d2f3 そういえば、紅麗の奴…。
あいつもきっと
やって来るに違いねぇ！
0x0077d334 力をつけて、もっと強く
なっておかなきゃな…。
0x0077d363 烈火兄ちゃん！
えっと……ね。
……。遊びに来たよ！
0x0077d398 オッス！
…ん〜？
どうした？　薫……？
0x0077d3c1 ははーん！　さては、お前、
紅麗の事で悩んでるだろ！
しょうがねえな！
0x0077d408 え？
わかるの？
烈火兄ちゃん！？
0x0077d42b 当たり前ぢゃ！
オラ！
0x0077d442 オメーが紅麗と
渡り合えるかどうか
ためしちゃる！　来い！
0x0077d47d 烈火兄ちゃん！
オレの話はどーなったの？
0x0077d4a6 そんなんじゃ聞いて
もらえないじゃんかぁ。
0x0077d4d1 くっ…！
0x0077d4da くよくよ考えてても
しかたねーぞ！
0x0077d4fd 戦うときは集中しねぇと
奴に会ったところで、何も
できねーんじゃねえか！？
0x0077d548 そうだね。
もっと、頑張るよ！
ありがと！　烈火兄ちゃん。
0x0077d583 ホッホッホ。元気か烈火？
ズイブンと調子が
良いようじゃな！
0x0077d5c0 奴がお主に力を貸すと
言い出しおった。
0x0077d5e7 お主と居ると楽しいらしい。
良いな？
うまく使いこなすのじゃぞ！
0x0077d628 烈火は
「刹那」（%B%P6Ｒ＋←＋Ｂ%S%P7）が
使えるようになった！
0x0077d669 ヨォ！　烈火！
いい戦いっぷりじゃな。
0x0077d690 じゃが、八竜の使い方が
まだ甘いようじゃ。
0x0077d6bb 次に小金井と勝負する時は
必殺技をもっとたくさん
使ってみると良いぞ。
0x0077d702 よっしゃ！
修行の成果もいい感じだ！
0x0077d727 これなら、絶対
ＳＯＤＯＭへ行って
姫を助け出せるぜ！！
0x0077d760 お！　また誰か来たな！
0x0077d777 居るか？　リーダー。
0x0077d78c よぉーっ！
水鏡じゃねぇか！
どうした？
0x0077d7b5 いじけてるところを
見てやろうかと思ったが
大丈夫そうだな。
0x0077d7f2 バカ言ってんじゃ
ねーぞ！　固羅！
0x0077d815 お前こそどーなんだ。
逃げるなら今のうちだぞ！
0x0077d844 口だけは相変わらずだな…。
0x0077d85f いいだろう。
久しぶりに閻水の力を
味わってもらおうか！！
0x0077d89a よし！　こい！
0x0077d8a9 そんなことでは
柳さんを助けることは
不可能だ。
0x0077d8da お前はＳＯＤＯＭへ
行かなくていいぞ。
0x0077d901 くそーっ！
0x0077d90c どうした、みーちゃん？
ＳＯＤＯＭ行き、
やめとっか？（笑）
0x0077d949 くっ！
0x0077d950 お主はたいしたものじゃ。
こうも力がつくとは
思わんかったぞ。
0x0077d98f ワシもお主に
託してみたくなったワイ。
共に森光蘭を倒そうぞ！
0x0077d9ce 烈火は
「虚空」（%B%P6Ｒ＋↑＋Ｂ%S%P7）が
使えるようになった！
0x0077da0f ナイスな攻撃じゃ、烈火！
じゃが、一言
言わせてもらうぞ！
0x0077da4a 火竜の中には、お主の
力になろうとしている者が
まだおる！
0x0077da85 今までに勝負した奴らと
何度でも戦って、お主の力を
認めさせるのじゃ！
0x0077dacc そうすれば、
新たな火竜を
味方にできるじゃろう！
0x0077daff ずいぶん良くなったな、
烈火よ。
0x0077db20 しかし！　あえて言うなら
必殺技に頼りすぎる戦いは
お主のためにならん！！
0x0077db6b 次に水鏡と勝負する時は
必殺技を使わずに
勝って見せよ！！
0x0077dba6 よし…！！
集合場所へいくか！
待ってろよ！　姫！！
0x0077e9ff #ﾜ#'$さて！　ＣＤを手に入れて
姫を助け出さなきゃな！
いくぜ！
0x0077ea3f おい！　待てよ！
0x0077ea50 なんだ！？
オレがもう一人…！？
0x0077ea71 そう簡単に
ＣＤは集まらねえぜ！
0x0077ea92 先に行きたかったら
このオレ様を倒していけっ！
0x0077eac1 なるほど、上等だぜ！
0x0077ead6 オレはお前の正体を
知ってる！
0x0077eaf5 エンリョはしねえぞ！
いくぜ！
0x0077eb14 やれやれでゴザルなぁ。
烈火殿。
0x0077eb35 しばらく見ないうちに
腕が落ちたのではないで
ゴザルか？
0x0077eb6e 某に負けるようでは
これ以上先に行っても
ムダでゴザルよ…。
0x0077ebab ちっくしょう！
0x0077ebba あっはっは！　どうだ！
やっぱ、
オレのほうが強いだろ。
0x0077ebf3 そろそろ本当の姿を
あらわせよ！
0x0077ec14 痛たたた…
いやいや、
まいったでゴザルよ。
0x0077ec41 しばらくのうちに、
また腕をあげたでゴザルな。
烈火殿。
0x0077ec7a なーに、
オメーもなかなかだったぜ
火車丸！
0x0077eca7 で、なんでお前が
ここに居るんだ？
0x0077ecca 烈火殿たちの
応援に来たでゴザルよ。
0x0077ecef ここから先が
本当の敵でゴザル。
気をつけて進むでゴザルよ。
0x0077ed2c そうか、ありがとよ！
恩にきるぜ！
じゃあな！
0x0077ed5b 道がふたつに分かれてんな。
どっちに行ったらいいんだ？
0x0077ed92 %T0バイオノイドドームへ向かう
パルテノンへ向かう
0x0077edc4 おっし！　行くぜ！
待ってろよ…　姫！
0x0077edeb なんだ、ここは？
血の臭いがする…。
0x0077ee10 治癒の少女を救いに来たか。
君が、火影忍軍…、
烈火だな。
0x0077ee4b 誰だ、てめえ。
姫やオレのこと
知ってるみてえだな。
0x0077ee80 私は「死四天」の蛭湖。
君をここから先へ
通すわけにはいかない。
0x0077eec1 お前も森光蘭の手下か！
姫は返してもらうぜ！
どけ！　蛭湖！！
0x0077ef00 断る…！！
いくぞ！　火影の者！！
0x0077ef23 この私が押されるとは、
見事。
だが…、運命は変わらぬ…！
0x0077ef5e こいつ…っ！　強ぇ…！！
ちくしょう……
0x0077ef87 行け。私の完敗だ。
0x0077ef9a おめえがなんで
ここで戦ってるのかは
知らねーけどよ、
0x0077efd1 そんなんじゃ、
オレ達の誰一人も
止められねーぜ！
0x0077f004 ズイブンと変なところに
来ちまったな…。
0x0077f02d ……ん？
なんだ、この気配は…！？
0x0077f050 お前　誰？
火影の　者…？
0x0077f06b 花菱烈火。火影だ！
姫を返してもらいに来たぜ！
お前は誰だ！？
0x0077f0aa ヒャヒャヒャヒャ！！
来た！　火影！
お前　楽しめそう！！
0x0077f0e5 話しても、
聞いちゃーくれねぇ
みてぇだな……。
0x0077f116 邪魔するなら、
手加減しねえぜ！
0x0077f137 倒す！　火影！
ヒャヒャヒャヒャッ！！
0x0077f15e ヒャヒャヒャヒャ！
0x0077f171 倒す！　倒す！
火影！　倒す！
オレ！　強い！！
0x0077f1a2 …くっ！！
なんなんだ……こいつ…！
0x0077f1c7 フン！
てこずらせやがって……
0x0077f1e6 オォオォオォオォ…！！！
なんで……生きてる…お前！
グ…ハァッ……！！
0x0077f22f ＣＤは無いみたいだな。
先へ行くぜ！
0x0077f254 モタモタしてると
姫があぶねぇ。
0x0077f275 はやく森光蘭を
倒さねぇと！
0x0077f292 また、分かれ道か…
どっちへいくか？
0x0077f2b7 %T0研究所へ向かう
貯水池へ向かう
0x0077f2d9 よし！
こっちだ！
0x0077f2ec ここか…。
ん？
0x0077f2fd あら。もうひとり
いらっしゃいましたね？
0x0077f326 烈火か。
お前もこっちへ来たのか。
0x0077f349 おー！　みーちゃん！！
無事でいるか？
0x0077f370 当たり前だ。
お前や土門とは違う。
0x0077f393 なんぢゃ！
喧嘩売っとんのか！　ワレ！
0x0077f3ba ふたりになったところで、
何も変わりませんけど。
0x0077f3eb 私の死愚魔に
倒されに来たんですか？
火影の烈火さん。
0x0077f422 ギョェーッ！！
0x0077f431 あいつも敵って訳か？
みーちゃん。
0x0077f454 見れば分かるだろう。
邪魔だから先へ行け。
ここは僕だけで十分だ。
0x0077f497 邪魔とはなんぢゃ！
お前こそ先へ行っとれ！
水鏡ィ！
0x0077f4cc ここへ来たのは僕が先だ。
お前こそ先へ行けばいい。
0x0077f4ff ふたりが相手してる
時間は無いじゃねえか！！
0x0077f52c 目指すは森光蘭！！
……だろ！
行け！
0x0077f553 せっかくふたりになったのに
仲間割れですか？
火影さん。
0x0077f58c ちょうどいいですね。
倒していいわよ！
死愚魔！！
0x0077f5bf ギョェーーーッ！！
0x0077f5d2 言い出したら
聞かない奴だ……。
0x0077f5f3 僕は先に行く。
…任せたぞ、リーダー！
0x0077f61a おう！
0x0077f621 あははは！
やっぱりこの程度なのね！
よくやったわよ！　死愚魔！
0x0077f662 グギャギャギャー！！
0x0077f677 ちっくしょう……！！
0x0077f68c ふー！
けっこうかかっちまったな！
0x0077f6af ウソ…
私の死愚魔が……
0x0077f6c8 おっしゃ！
オレも先へ行くぜ！
0x0077f6e7 ここか。
0x0077f6f0 よく来たなァ
烈火ァ………
0x0077f70b 木蓮！！
0x0077f714 待ってたぜぇ、烈火。
お前は、このオレの手で
倒さねぇと気がすまねぇ！
0x0077f75b 分かるか？　烈火。
0x0077f76e オレはなァ
いつもお前らの屈辱に
まみれていたんだぜぇ…。
0x0077f7a9 お前ら、全員…、
いつもいつも
オレを見下してた…
0x0077f7dc オレを雑魚のように
扱ってたんだぁ！！
絶っ対に許せねぇーっっ！！
0x0077f81f 相も変わらず
小さき男よ、木蓮！
0x0077f840 その程度の考えしか
出てこぬ事が
見下される所以と知れ！
0x0077f879 空海のおっさん！！
0x0077f88c 久しいな、烈火。
さぁ、奴を倒すぞ！
0x0077f8b1 そうはさせないよ！
木蓮には、このアタシが
指一本触れさせない！
0x0077f8f2 お前のような心がねじれた
者にも、人を守ろうとする
心があったか。…命よ。
0x0077f93d るせーよ！　ハゲオヤジ！
沈めてドザエモンに
してやる！
0x0077f976 …木蓮。
0x0077f97f 別に、お前を見下してた
訳じゃねーぜ…。
0x0077f9a8 てめえが
大っ嫌いだっただけだ！
0x0077f9c9 烈火！
お前は木蓮！
命はまかせよ！！
0x0077f9f0 ＯＫ！
頼むぜ！　仏様！
0x0077fa09 烈火ァ…！！
思い残さねえように
やり合おうぜ！！
0x0077fa3c お前が先に進むのか？
オレが大笑いするのか！？
0x0077fa6b 火竜対木竜！
勝負だァ！！　花菱烈火！！
0x0077fa94 ひゃはははは！
倒したぞォ！！
花菱烈火！！
0x0077fac1 本当に最期まで
馬鹿な奴だったぜ！！
ひゃはははははは！！
0x0077fafc ま…、まちや…がれ
烈火……
0x0077fb19 自分を…
他人におしつけるんじゃ
ねえよ。木蓮…。
0x0077fb4c じゃあな！
ＣＤはもらっていくぜ！
0x0077fb6f …花菱……烈火！！
次だ！！
0x0077fb8c 今度戦うときは………
次こそ、倒してやる！！
0x0077fbb9 ひゃはははははは……！！
0x0077fbd2 あ！　来た来たァ！
あなた、火影の人でしょ！
名前は…ええっと…
0x0077fc13 花菱烈火だ！
姫を返してもらいに来たぜ！
0x0077fc3c パパと融合しちゃう
女の子のこと？
0x0077fc5f なにィ！？
0x0077fc6a だったら、この先に
パパと一緒にいるよ！！
0x0077fc95 でも、会えないの！
あなたは私にここで
倒されちゃうからっ！！
0x0077fcd4 この先だな。オイ、てめぇ！
邪魔するなら許さねえぞ！
どけ！！
0x0077fd13 パパーっ！
今から、火影の人
やっつけるからね！
0x0077fd44 そしたらまた、煉華のこと
いっぱい！　いっぱい！
誉めてね！！
0x0077fd83 キャハハハーッ！
すっごおい！
炎、使えるンだぁ！？
0x0077fdb8 でも、全然強くないね！
煉華のお兄ちゃんのほうが
ずーっとスゴイな！
0x0077fdfd くそっ……
0x0077fe08 おめーが女だから、
エンリョしたんぢゃ！！
改心しろよ！
0x0077fe41 時間くっちまった！
今行くぜ！！　姫！！
0x0077fe6a ふええ……
…パパァ…
0x0077fe81 強くなったな。烈火よ。
ワシには、もう
言うことは何も無い。
0x0077febe 桜花殿もお主に力を
授けてくれるそうじゃ。
0x0077fee9 進むがよい。そして、
成すべき事を果たすのじゃ！
頼むぞ！　烈火よ！
0x0077ff2e 烈火は
「裂神」（%B%P6Ｒ＋↑＋Ａ%S%P7）が
使えるようになった！
0x0077ff6f ウッス！　烈火！
見事な戦いじゃ！　じゃが、
まだ少しだけ迷いが見える！
0x0077ffb8 煉華相手に迷いは禁物！
お主が会得できる必殺技の
全てを使いこなすのじゃ！
0x00780003 桜花殿もきっと、
お主の力に
なってくれようぞ！
0x007808e6 森光蘭だな！
姫を返してもらうぜ！！
0x0078090b 誰だ？
私の邪魔をする奴は。
0x00780928 勝手な事ばかり
してんじゃねえぞ！
姫は必ず返してもらう！！
0x00780965 小ざかしいゴミがぁ。
治癒の娘ならば
とっくに喰らったわ！
0x007809a0 そして私は最強の力を得た…
もう、怖いものなどない！！
0x007809d7 なんだと！　てめぇ！！
0x007809ee 落ち着きなさい！　烈火！
柳ちゃんは、まだ
生きている！
0x00780a27 森光蘭に捕らわれ、
回復力を奪われてる
だけよ！
0x00780a58 今、森光蘭を倒せば
まだ助けだせるわ！！
0x00780a81 わかったぜ！
土門！　姫を頼む！！
オレはこいつをぶっ壊す！！
0x00780ac0 おう！
まかせとけ！！
0x00780ad7 なかなかやるではないか。
さすが、火影と
いったところか。
0x00780b12 お前も炎が
使えるのだな！？
0x00780b2f いいぞ！　いいぞ！！
お前も私の身体の
一部にしてやろう！！
0x00780b6c そして私は、
最強の存在へと
生まれ変わるのだ！！
0x00780b9f 世界をわが手中に
収めるのも時間の問題だ！！
ガハハハハハ！！
0x00780bde ウォォォ！！
私はまだ、やられるわけには
いかんのだ！！
0x00780c17 ギャアアア！！　痛い！！
ハァ！　ハァ！　ハァ！
0x00780c48 煉華！　煉華は何処だ！？
私を助けるのだ、煉華！！
0x00780c7b お前を助ける仲間は
もう、いねえ！
覚悟しろ、森光蘭！！
0x00780cb4 過去の悪夢からの呪縛を
解き放つ時じゃ！
とどめをさせ！　烈火！！
0x00780cf7 森光蘭を
倒すのじゃ！！
0x00780d10 くそおおおおぉっ！！
またしても、
私はやられるのか！？
0x00780d49 いや…！
治癒の娘が生きてる限り…！
何度でもやり直しはきく！！
0x00780d8a お前らを倒せないのは
残念だが…。ここは再び
時を待つとしよう……！！
0x00780dd1 ふはははははは！！
0x00780de4 逃がすか！！
待ちやがれーっ！！
森光蘭！！
0x00780e11 逃がしませんよ…、
森光蘭……。
0x00780e32 紅麗！？
0x00780e3b 何！？　貴様…！！
ちっ…！！
なんということだ…！
0x00780e70 烈火…！
だから貴様は甘いのだ…。
0x00780e93 何をモタついている。
火影も、しょせん、
ゴミの集まりか！？
0x00780ed0 森光蘭の次は、
貴様らだ！
命は無いぞ！！
0x00780efb なんだと！？
0x00780f08 さあ、森光蘭…。
倒してさしあげましょう…！
0x00780f35 うっ。%/うっ。%/紅麗%/
助けてくれ！！%/
また、一緒に！！
0x00780f70 うぎゃああああああ！！
0x00780f87 火影…！！
次はお前たちだ。
無能どもを潰してやる…！！
0x00780fc0 オイ、みんな。
姫を頼むぜ。
脱出してくれ！
0x00780fed 何、言ってんのさ！？
ひとりで戦う気！？
0x00781016 烈火兄ちゃん！
0x00781025 おおそうぢゃ！
コイツとはオレがケリ
つけにゃならんのぢゃ！！
0x00781064 土門！　水鏡！
姫を頼むぜ！
そこの２人と母ちゃんもな！
0x0078109d …わかった。
行くぞ、みんな！
モタモタすんな！！
0x007810d0 柳さんに声をかけるのは
お前の役目だ。
戻ってこいよ。烈火。
0x0078110d 当たり前ぢゃ！！
0x0078111e 必ず、帰ってきなさい。
烈火…！
0x0078113f おう！！
0x00781148 さあて、
決着をつける時が来た…
ってか。
0x00781173 貴様程度がよくここまで
生きて来れたものだ。
0x007811a0 また貴様の顔を見ることに
なるとは、
ウンザリするよ。
0x007811d7 そりゃ、
こっちのセリフじゃ！
0x007811f6 火影の名を汚す無能共。
約束どおり、
次は貴様らの番だ！！
0x00781231 ふざけるなよ！
馬鹿野郎！
まだわからねえのか！？
0x00781264 しょってるモンのでかさは
同じなんだよ！！
0x0078128f いつまでもいじけてると
カッコ悪いぜ！
紅麗！！
0x007812c0 フ……
どこまでも、甘い奴だ。
0x007812df 貴様とは、
気負うものなく、力のみで
勝負したいものだ……
0x0078131a だが、それは
かなわぬこと……。
0x0078133b 紅麗。お前…。
0x0078134a さらばだ！　烈火！！
ハハハハ！！
0x0078136d 紅麗！！
う、うわっ！　やべぇ！
ココ、崩れるのか！？
0x007813a4 しかたがねえ！
脱出するぜ！
0x007813c1 所詮貴様はゴミだ！
その血を呪い
滅ぶがいい！！
0x007813f2 くそ……
すまねぇ…姫…！
0x0078140d よっしゃ！　いくぜ！
0x00781422 裂神！　頼むぜっ！！
行けぇーっ！！
0x00781447 うぎゃあああぁぁぁ！！
0x0078145e 烈火！　柳ちゃんを！！
0x00781475 判ってる！！
姫！！
0x0078148a 崩れ始めてるっ！！
早く、逃げないと
危険だよ！！
0x007814bd よし！
姫は無事だ！！
外へ脱出するぞっ！！
0x007814ea 姫！　大丈夫か！？
0x007814fd ………。
0x00781506 姫…！　姫ェッ！！
0x00781519 烈火…くん…！！
0x0078152a すまなかったな。姫。
怖かっただろ。
0x0078154f ううん。烈火くんが
助けにきてくれると
思ってたから平気だったよ。
0x00781592 お、おう！　そうか！
あっはっは！
0x007815b5 おーおー。
熱いねぇ、お二人さん。
0x007815d8 オレも風子サマが
連れ去られたときは
助けに行きますよ！
0x00781611 風子が連れ去られる訳
ないだろう。
0x00781634 あーっ！
それ、ひどいな、
みーちゃん！！
0x0078165f なんでみんな
いつも
ケンカするのかなぁ。
0x0078168a 紅麗とは
決着がついたの？　烈火。
0x007816ad 最後にアイツ、また
逃げちまいやがった。
勝負はまたお預けらしいぜ！
0x007816f2 あいつのことだから
きっとしぶとく
生きてるだろうな…！
0x0078172b 姫も無事、助け出せたし！
さあ、みんな！
帰ろうぜ！！
0x00781762 烈火くん…。
0x0078176f なんじゃ？　姫。
0x00781780 いつまでも
一緒にいてね…。
0x00781f9a オレも三日間で
バッチシ鍛えなおすぜ。
0x00781fc1 しかしオレも、
今まで、いろんな奴と
戦ってきた。
0x00781ff4 あれっ！？
そういや水鏡とマジで
戦ったことねぇなあ。
0x0078202b オレの訓練は実践派だ！
いっちょ、やったるかぁ！
0x0078205c おーい！　水鏡ィ！
0x0078206f なんだ、土門か。
0x00782080 調子はどうだ！？
いっちょやろうぜ！　な！
0x007820ab お前の閻水、
オレが叩き折ってやるぜ！
0x007820d2 本能バカの腐乱犬が…。
0x007820e9 なんやと！　固羅！
かかって来い！
0x0078210c お前から、
挑戦して
きたんじゃないか……。
0x00782139 で…。
返り討ちにあって
どうするんだ、お前？
0x00782168 くそおおお！
0x00782175 みーちゃん！　どうしたぁ！
あっはっはっは！
0x007821a2 うぃー！　土門よ！
ズイブンと力だけは
あり余っとるようじゃの！
0x007821e3 それを生かして
